ab su
aba üstlük
abartı mübalağa
abece alfabe
abes boş 
abıhayat bengi 
suabide anıt
abluka kuşatma
abullabut hantal
abus somurtkan
acar cesur 
acaba acep
acayip garip
acele çabuk 
aceleci ivecen
acemi toy
acı üzüntü
acıma merhamet
acımasız gaddar
açıkgöz kurnaz
ad isim
adale kas
adalet hakadet 
adıl zamir
adi bayağı
aferin bravo
affetmek bağışlamak
ahenk uyum
aka büyükakıl
alaka ilgi
alelade sıradan
aleni açık
ama fakat
âmâ kör 
amaç erek
amade hazır
amale işçi
amel iş
ana anne
anı hatıra
anıt abide
aniden birden
anlam mana
anlatım ifade
ant yemin
apse iltihap
ara fasıla
araç vasıta
arıza bozukluk
arka geri
armağan hediye
arzu istek
asır yüzyıl
asil soylu
aş yemek
aşırmak çalmak
ata cet
atak girişken
atölye işlik
avare serseri
ayakkabı pabuç
ayakyolu hela
aylak serseri
ayraç parantez
ayrıcalık imtiyaz
aza üye
bağışlamak affetmek
bağnaz yobaz 
barış sulh
basımevi matbaa
basit yalın
baş kafa
başkaldırı isyan
başkan reis
başkent başşehir
başvuru müracaat
batı garp
bayağı adi
bayındır mamur
bayındırlık imar
baytar veteriner
bazen kimi
bedava parasız
beden gövde
beğeni zevk
belde şehir
belge vesika
bellek hafıza
bencil egoist
benlik kişilik
benzer eş
beraber birlikte
bereket bolluk
berrak duru
besin gıda
beyanat demeç
beyaz ak
beygir at
beyhude boşuna
biçare zavallı
biçim şekil
bilakis tersine
bilgin alim
bilgisiz cahil
bilhassa özellikle
bilim ilim
bilgisiz cahil
bilinç şuur
bina yapı
birden ani
birey fert
biricik tek
bitki nebat
boylam meridyen
bozkır step
bucak nahiye
buğu buhar
buhran bunalım
buyruk emir
büro ofis
cahil bilgisiz
caka gösteriş
camekan vitrin
canlı diri
cazibe çekim
cehalet bilgisizlik
celse oturum
cenk savaş
cenup güney
cerahat irin
cerrah operatör
cesur yürekli
cet ata
cevap yanıt
ceviz koz
cılız sıska
ciddi ağırbaşlı
cihaz aygıt
cihet yön
cilt ten
cimri pinti
cömert eliaçık
cümle tümce
çabuk acele
çağ devir
çağdaş modern
çamur balçık
çare deva
çehre yüz
çeşit tür
çeviri tercüme
çığlık feryat
çılgın deli
çizelge cetvel
çoğunluk ekseriyet
çok fazla 
daimi sürekli
darbe vuruş
dargın küs
darılmak küsmek
davet çağrı
defa kez
değer kıymet
değerli kıymetl
değnek sopa
deli çılgın
delil kanıt
deneme tecrübe
denetim kontrol
deney tecrübe
deprem zerzele
dergi mecmua
derhal hemen
devamlı sürekli
devinim hareket
devir çağ
devre dönem
dışalım ithalat
dışsatım ihracat
diğer başka
dil lisan
dilek istek
diri canlı
dize mısra
dizi sıra
doğa tabiat
doğal tabii
doğu şark
doktor hekim
donuk mat
doruk zirve
dost arkadaş
dönemeç viraj
döşek yatak
duru berrak
durum vaziyet
duygu his
düş rüya
düşünce fikir
düzen seviye
düzmece sahte
düzyazı nesir
ebat boyut
ebedi sonsuz
ebeveyn anne
eda naz
edat ilgeç
edebiyat yazın
efe zeybek
egoist bencil
ehemmiyet önem
ek ilave
eklem mafsal
ekonomi iktisat
elbise giysi
emir buyruk
emniyet güvenlik
ender nadir
endişe kaygı
endüstri sanayi
enkaz yıkıntı
enlem paralel
entari giysi
enteresan ilginç
esas temel
eser yapıt
esir tutsak
etki tesir
etraf çevre
faaliyet etkinlik
faiz nema
fakat ama 
fakir yoksul
faktör unsur
fare sıçan
fark ayrım
fasıla ara
fayda yarar
fazla çok
felç nüzul
fena kötü
fer ışık
fert birey
feza uzay
fiil eylem
fikir düşünce
file ağ
füze roket
garip acayip
garp batı
gaye amaç
gayret çaba
gebe hamile
gelecek istikbal
gelenek anane
gene yine
genel umumi
geri art
gezmek dolaşmak
gıda besin
giysi elbise
giz sır
gizli saklı
gökyüzü sema
görev vazife
gövde beden
gözlem rasat
güç kuvvet
güçlü kuvvetli
güldürü komedi
gülünç komik
güney cenup
güven itimat
güz sonbahar
haber havadis
hadise olay
hal durum
halbuki oysa
ham olmamış
hane ev
hareket devinim
hariç dış
harp savaş
hasım düşman
hasis cimri
hasret özlem
hassas duygulu
hatıra anı
hayal düş
hayat yaşam
haysiyet onur
hediye armağan
hekim doktor
hela tuvalet
hemen derhal
hısım akraba
hiddet öfke
hikaye öykü
hisse pay
hudut sınır
hususi özel
hür özgür
ılgım serap
ılıca kaplıca
ırak uzak
ırk soy
ıra karakter
ırmak nehir
ısı hararet
ısırmak dişlemek
ısıölçer kalorimetre
ıslah düzeltme
ıslahat devrim
ıslak yaş
ıssız tenha
ışık ziya
ıtır koku
icat buluş
iç dahil
içten samimi
idadi lise
idare yönetim
ihracat dışsatım
ihtiyar yaşlı
ihtiyaç gereksinim
ikaz uyarı
iktisat ekonomi
ilan duyuru
ilave ek
ilgeç edat
ilgi alaka
ilginç enteresan
ilim bilim
ilişki münasebet
imar bayındır
imkan olanak
imtihan sınav
isim ad
iskemle sandalye
ithalat dışalım
itibar saygınlık
itimat güven
itina özen
izah açıklama
jale kırağı
jenerasyon kuşak
jeolog yer bilimci
jeoloji yer bilimi
jimnastik idman 
Jüpiter Erendiz
jüri seçici
kabiliyet yetenek
kabus karabasan
kafa baş
kafi yeter
kafiye uyak
kalite nitelik
kalp yürek
kamu halk
kanıt delil
kapital sermaye
kanun yasa
kara siyah
karşın rağmen
karşıt zıt
kas adale
katı sert
kati kesin
kayıp yitik
keder acı
kelime sözcük
kenar kıyı
kent şehir
kere defa
kocaman iri
kolay basit
komedi güldürü
komik gülünç
konu mevzu 
konuk misafir
konut ev
koşul şart
kural kaide
kuruluş müessese
kurum kuruluş
kuşku şüphe
kutsal mukaddes
kuvvet güç
kuzey şimal
küme grup
küs dargın
laf söz
lafazan geveze
lakin ama 
lal dilsiz
latif yumuşak
latife şaka
leke iz
lens mercek
lider önder
linet sürgün
lisan dil
logo arma
löp yumuşak
lüzumlu gerekli
lüzumsuz gereksiz
mabet tapınak
macera serüven
mafsal eklem
mağlup yenik
mahalli yerel
mahcup utangaç
mahluk yaratık
mahpushane cezaevi
mahsul ürün
mana anlam
mani engel
manzara görünüm
matbaa basımevi
matem yas
mebus milletvekili
mecbur zorunlu
mecmua dergi
medeni uygar
medeniyet uygarlık
mektep okul
mektup name
melodi ezgi
menfaat çıkar
menfi olumsuz
menkul taşınır
meridyen boylam
merkep eşek
mesafe ara
mesela örneğin
mesele sorun
mesken konuk
meslek iş
mesul sorumlu
mesut mutlu
meşhur ünlü
meşrubat içecek
merasim tören
mevcut var
meydan alan
millet ulus
milletvekili mebus
milli ulusal
misafir konuk
misal örnek
misli katı
muallim öğretmen
muavin yardımcı
muharebe savaş
muhtelif çeşitli
muştu müjde
mübarek kutsal
müessese kuruluş
mühim önemli
mükafat ödül
müsabaka yarışma
müsait uygun
müspet olumlu
müstahsil üretici
müstakil bağımsız
müşteri alıcı
nadir ender
nakil atama 
nakit para 
nakliyeci taşımacı
namzet aday
nasihat öğüt
nebat bitki
neden sebep
nefes soluk
nehir ırmak
nem rutubet
nesil kuşak
nesir düzyazı
neşe sevinç
netice sonuç
nispet oran
nitelik kalite
noksan eksik
numune örnek
nutuk söylev
okul mektep
olanak imkan
olası mümkün
olay vaka
olumlu müspet
olumsuz menfi
onarım tamir
onay tasdik
onur şeref
oran nispet
otlak mera
oy rey
ozan şair
öbek grup
öbür diğer
ödenti aidat
ödlek korkak
ödül mükafat
ödün taviz
öfke hiddet
öge unsur
öğrenci talebe
öğrenim tahsil
